,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
496,50,Meta,Total,1994,131610,119223
497,50,Meta,Total,1995,138617,125602
498,50,Meta,Total,1996,145678,132028
499,50,Meta,Total,1997,152803,138507
500,50,Meta,Total,1998,160036,145082
501,50,Meta,Total,1999,167282,151673
502,50,Meta,Total,2000,174539,158295
503,50,Meta,Total,2001,181807,164974
504,50,Meta,Total,2002,189103,171742
505,50,Meta,Total,2003,196466,178654
506,50,Meta,Total,2004,203913,185732
507,50,Meta,Total,2005,211583,193108
508,50,Meta,Total,2006,219621,200918
509,50,Meta,Total,2007,227869,209021
510,50,Meta,Total,2008,236404,217487
511,50,Meta,Total,2009,245257,226344
512,50,Meta,Total,2010,254471,235629
513,50,Meta,Total,2011,263994,245285
514,50,Meta,Total,2012,273772,255253
515,50,Meta,Total,2013,283768,265480
516,50,Meta,Total,2014,294083,276043
517,50,Meta,Total,2015,304788,286991
518,50,Meta,Total,2016,316083,298494
519,50,Meta,Total,2017,328074,310639
520,50,Meta,Total,2018,341052,323691
521,50,Meta,Total,2019,349895,332863
522,50,Meta,Total,2020,358678,341925
523,50,Meta,Total,2021,367069,350553
524,50,Meta,Total,2022,375358,359027
525,50,Meta,Total,2023,383705,367498
526,50,Meta,Total,2024,391993,375858
527,50,Meta,Total,Unnamed: 0,45,45
528,52,Nariño,Total,1993,275497,249726
529,52,Nariño,Total,1994,286115,259460
530,52,Nariño,Total,1995,296377,268885
531,52,Nariño,Total,1996,306215,277933
532,52,Nariño,Total,1997,315630,286607
533,52,Nariño,Total,1998,324631,294915
534,52,Nariño,Total,1999,333223,302860
535,52,Nariño,Total,2000,341711,310694
536,52,Nariño,Total,2001,349906,318270
537,52,Nariño,Total,2002,357786,325596
538,52,Nariño,Total,2003,365663,332923
539,52,Nariño,Total,2004,373721,340412
540,52,Nariño,Total,2005,382092,348175
541,52,Nariño,Total,2006,390970,356383
542,52,Nariño,Total,2007,399999,364698
543,52,Nariño,Total,2008,409104,373040
544,52,Nariño,Total,2009,418479,381569
545,52,Nariño,Total,2010,428441,390565
546,52,Nariño,Total,2011,439156,400165
547,52,Nariño,Total,2012,450639,410380
548,52,Nariño,Total,2013,462914,421227
549,52,Nariño,Total,2014,476214,432929
550,52,Nariño,Total,2015,490872,445799
551,52,Nariño,Total,2016,506855,459826
552,52,Nariño,Total,2017,524064,474937
553,52,Nariño,Total,2018,543653,492200
554,52,Nariño,Total,2019,553139,501275
555,52,Nariño,Total,2020,562840,510526
556,52,Nariño,Total,2021,573220,520377
557,52,Nariño,Total,2022,584496,531025
558,52,Nariño,Total,2023,596151,541996
559,52,Nariño,Total,2024,606849,552072
560,52,Nariño,Total,Unnamed: 0,48,48
561,54,Norte De Santander,Total,1993,247303,229447
562,54,Norte De Santander,Total,1994,255259,236857
563,54,Norte De Santander,Total,1995,263043,244094
564,54,Norte De Santander,Total,1996,270578,251142
565,54,Norte De Santander,Total,1997,277820,257962
566,54,Norte De Santander,Total,1998,284792,264582
567,54,Norte De Santander,Total,1999,291472,270987
568,54,Norte De Santander,Total,2000,297895,277213
569,54,Norte De Santander,Total,2001,304039,283241
570,54,Norte De Santander,Total,2002,309956,289122
571,54,Norte De Santander,Total,2003,315678,294890
572,54,Norte De Santander,Total,2004,321374,300705
573,54,Norte De Santander,Total,2005,327264,306772
574,54,Norte De Santander,Total,2006,333199,312953
575,54,Norte De Santander,Total,2007,339273,319337
576,54,Norte De Santander,Total,2008,345475,325909
577,54,Norte De Santander,Total,2009,351855,332714
578,54,Norte De Santander,Total,2010,358419,339752
579,54,Norte De Santander,Total,2011,365107,346957
580,54,Norte De Santander,Total,2012,371953,354353
581,54,Norte De Santander,Total,2013,379060,362028
582,54,Norte De Santander,Total,2014,386389,369934
583,54,Norte De Santander,Total,2015,394233,378342
584,54,Norte De Santander,Total,2016,403798,388403
585,54,Norte De Santander,Total,2017,415577,400593
586,54,Norte De Santander,Total,2018,433292,418508
587,54,Norte De Santander,Total,2019,457070,442310
588,54,Norte De Santander,Total,2020,477239,462636
589,54,Norte De Santander,Total,2021,490249,476010
590,54,Norte De Santander,Total,2022,500202,486377
591,54,Norte De Santander,Total,2023,510163,496706
592,54,Norte De Santander,Total,2024,520521,507373
593,54,Norte De Santander,Total,Unnamed: 0,51,51
594,63,Quindío,Total,1993,117885,111382
595,63,Quindío,Total,1994,121516,114879
596,63,Quindío,Total,1995,125005,118252
597,63,Quindío,Total,1996,128318,121472
598,63,Quindío,Total,1997,131421,124507
599,63,Quindío,Total,1998,134313,127357
600,63,Quindío,Total,1999,136923,129954
601,63,Quindío,Total,2000,139265,132313
602,63,Quindío,Total,2001,141350,134444
603,63,Quindío,Total,2002,143226,136391
604,63,Quindío,Total,2003,144969,138226
605,63,Quindío,Total,2004,146658,140024
606,63,Quindío,Total,2005,148452,141937
607,63,Quindío,Total,2006,150195,143816
608,63,Quindío,Total,2007,152004,145770
609,63,Quindío,Total,2008,153869,147792
610,63,Quindío,Total,2009,155872,149957
611,63,Quindío,Total,2010,158140,152389
612,63,Quindío,Total,2011,160626,155040
613,63,Quindío,Total,2012,163202,157788
614,63,Quindío,Total,2013,165817,160581
615,63,Quindío,Total,2014,168616,163558
616,63,Quindío,Total,2015,171749,166864
