,Código Departamento,Nombre Departamento,Área,Año,Viviendas
810,63,Quindío,Total,2016,170547
843,63,Quindío,Total,2017,174623
876,63,Quindío,Total,2018,179383
909,63,Quindío,Total,2019,184002
942,63,Quindío,Total,2020,188702
975,63,Quindío,Total,2021,193455
1008,63,Quindío,Total,2022,198549
1041,63,Quindío,Total,2023,203940
1074,63,Quindío,Total,2024,209250
18,63,Quindío,Total,Unnamed: 0,54
52,66,Risaralda,Total,1993,171547
85,66,Risaralda,Total,1994,177922
118,66,Risaralda,Total,1995,184130
151,66,Risaralda,Total,1996,190159
184,66,Risaralda,Total,1997,195927
217,66,Risaralda,Total,1998,201387
250,66,Risaralda,Total,1999,206509
283,66,Risaralda,Total,2000,211282
316,66,Risaralda,Total,2001,215697
349,66,Risaralda,Total,2002,219835
382,66,Risaralda,Total,2003,223767
415,66,Risaralda,Total,2004,227742
448,66,Risaralda,Total,2005,231919
481,66,Risaralda,Total,2006,236219
514,66,Risaralda,Total,2007,240629
547,66,Risaralda,Total,2008,245064
580,66,Risaralda,Total,2009,249680
613,66,Risaralda,Total,2010,254731
646,66,Risaralda,Total,2011,260102
679,66,Risaralda,Total,2012,265539
712,66,Risaralda,Total,2013,270943
745,66,Risaralda,Total,2014,276552
778,66,Risaralda,Total,2015,282593
811,66,Risaralda,Total,2016,289170
844,66,Risaralda,Total,2017,296226
877,66,Risaralda,Total,2018,304201
910,66,Risaralda,Total,2019,311688
943,66,Risaralda,Total,2020,319264
976,66,Risaralda,Total,2021,326803
1009,66,Risaralda,Total,2022,334877
1042,66,Risaralda,Total,2023,343337
1075,66,Risaralda,Total,2024,351557
19,66,Risaralda,Total,Unnamed: 0,57
53,68,Santander,Total,1993,324143
86,68,Santander,Total,1994,335264
119,68,Santander,Total,1995,346359
152,68,Santander,Total,1996,357411
185,68,Santander,Total,1997,368316
218,68,Santander,Total,1998,379103
251,68,Santander,Total,1999,389697
284,68,Santander,Total,2000,400163
317,68,Santander,Total,2001,410490
350,68,Santander,Total,2002,420759
383,68,Santander,Total,2003,431067
416,68,Santander,Total,2004,441618
449,68,Santander,Total,2005,452459
482,68,Santander,Total,2006,463978
515,68,Santander,Total,2007,476010
548,68,Santander,Total,2008,488593
581,68,Santander,Total,2009,501802
614,68,Santander,Total,2010,515686
647,68,Santander,Total,2011,530166
680,68,Santander,Total,2012,545161
713,68,Santander,Total,2013,560747
746,68,Santander,Total,2014,576943
779,68,Santander,Total,2015,593998
812,68,Santander,Total,2016,612536
845,68,Santander,Total,2017,632857
878,68,Santander,Total,2018,656966
911,68,Santander,Total,2019,680954
944,68,Santander,Total,2020,703281
977,68,Santander,Total,2021,721881
1010,68,Santander,Total,2022,738798
1043,68,Santander,Total,2023,755672
1076,68,Santander,Total,2024,774239
20,68,Santander,Total,Unnamed: 0,60
54,70,Sucre,Total,1993,129971
87,70,Sucre,Total,1994,133430
120,70,Sucre,Total,1995,136900
153,70,Sucre,Total,1996,140351
186,70,Sucre,Total,1997,143763
219,70,Sucre,Total,1998,147160
252,70,Sucre,Total,1999,150503
285,70,Sucre,Total,2000,153840
318,70,Sucre,Total,2001,157157
351,70,Sucre,Total,2002,160420
384,70,Sucre,Total,2003,163656
417,70,Sucre,Total,2004,166895
450,70,Sucre,Total,2005,170260
483,70,Sucre,Total,2006,173690
516,70,Sucre,Total,2007,177327
549,70,Sucre,Total,2008,181156
582,70,Sucre,Total,2009,185224
615,70,Sucre,Total,2010,189549
648,70,Sucre,Total,2011,194150
681,70,Sucre,Total,2012,198996
714,70,Sucre,Total,2013,204145
747,70,Sucre,Total,2014,209603
780,70,Sucre,Total,2015,215475
813,70,Sucre,Total,2016,222009
846,70,Sucre,Total,2017,229357
879,70,Sucre,Total,2018,238287
912,70,Sucre,Total,2019,247433
